InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538945,22745,POPPY'S PLAYHOUSE BEDROOM,8,01/26/2024 00:00,2.1,12265.0,Australia
540707,71053,WHITE METAL LANTERN,8,10/28/2024 00:00,3.39,12441.0,United Kingdom
541156,22150,3 STRIPEY MICE FELTCRAFT,4,07/20/2024 00:00,1.65,12489.0,Germany
540766,22632,HAND WARMER RED POLKA DOT,15,04/16/2024 00:00,1.85,12448.0,Belgium
537344,22632,HAND WARMER RED POLKA DOT,16,09/04/2024 00:00,1.85,12097.0,United Kingdom
543482,22150,3 STRIPEY MICE FELTCRAFT,8,08/04/2024 00:00,1.65,12763.0,United Kingdom
538781,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,07/12/2024 00:00,3.75,12243.0,United Kingdom
543282,22752,SET 7 BABUSHKA NESTING BOXES,8,09/12/2024 00:00,7.65,12741.0,United Kingdom
537532,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,10/11/2024 00:00,3.75,12118.0,United Kingdom
538770,22748,POPPY'S PLAYHOUSE KITCHEN,10,08/16/2024 00:00,2.1,12241.0,Germany
541597,22748,POPPY'S PLAYHOUSE KITCHEN,6,09/15/2024 00:00,2.1,12548.0,United Kingdom
540806,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,11/25/2024 00:00,2.55,12449.0,United Kingdom
540206,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,10/25/2024 00:00,2.55,12391.0,United Kingdom
540709,71053,WHITE METAL LANTERN,2,09/10/2024 00:00,3.39,,United Kingdom
541869,22632,HAND WARMER RED POLKA DOT,5,11/19/2024 00:00,1.85,12581.0,Spain
539482,22633,HAND WARMER UNION JACK,19,08/25/2024 00:00,1.85,12325.0,United Kingdom
539276,71053,WHITE METAL LANTERN,3,04/19/2024 00:00,3.39,12308.0,United Kingdom
538990,71053,WHITE METAL LANTERN,9,12/12/2023 00:00,3.39,12273.0,France
537720,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/29/2024 00:00,3.75,12145.0,United Kingdom
540514,84406B,CREAM CUPID HEARTS COAT HANGER,16,10/23/2024 00:00,2.75,12425.0,Spain
538566,22150,3 STRIPEY MICE FELTCRAFT,12,09/12/2024 00:00,1.65,12228.0,United Kingdom
542553,22150,3 STRIPEY MICE FELTCRAFT,2,11/06/2024 00:00,1.65,12651.0,United Kingdom
